full_part_number,section,subsection,position_details
17DEAValid only for 0.76µm (30µin)37PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(A): Removable front screwlock M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEAValid only for 0.76µm (30µin)37PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(A): Removable front screwlock M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEAValid only for 0.76µm (30µin)37SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(A): Removable front screwlock M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEAValid only for 0.76µm (30µin)37SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(A): Removable front screwlock M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)09PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)09PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)09SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)09SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)15PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)15PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)15SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)15SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)25PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)25PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)25SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)25SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)37PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)37PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DECValid only for 0.76µm (30µin)37SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DECValid only for 0.76µm (30µin)37SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(C): Removable front screwlock 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)09PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)09PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)09SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)09SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)15PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)15PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)15SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)15SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(15): Configuration 15 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)25PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)25PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)25SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)25SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(25): Configuration 25 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)37PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)37PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEBValid only for 0.76µm (30µin)37SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEBValid only for 0.76µm (30µin)37SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(B): Rear Nut M3 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(37): Configuration 37 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
17DEDValid only for 0.76µm (30µin)09PA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(D): Rear Nut 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(A): Front metal shell–tin plated
17DEDValid only for 0.76µm (30µin)09PB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(D): Rear Nut 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(P): Plug | Pos9(B): All plastic (for clear hole mounting option only)
17DEDValid only for 0.76µm (30µin)09SA,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(D): Rear Nut 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(A): Front metal shell–tin plated
17DEDValid only for 0.76µm (30µin)09SB,PART NUMBER SELECTOR,,Pos1(): Fixed value | Pos2(17D): Flash gold contact plating | Pos3(E): Shell size E | Pos4(): Fixed value | Pos5(D): Rear Nut 4-40 | Pos6(Valid only for 0.76µm (30µin)): Part number must be written as follow: L 17D..........C309 | Pos7(09): Configuration 09 | Pos8(S): Socket | Pos9(B): All plastic (for clear hole mounting option only)
