full_part_number,section,subsection,position_details
,High Density,Overall Dimensions,Pos1(): Fixed value
"77SDEHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDAGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDAGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDBGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDBGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDCHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDCHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDCHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDCHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDCHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDCHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDCHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDCHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDCHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDCHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
